priority,formula_key,brand,formula_name,species,gap_group,missing_fields,evidence_path,recommended_panel,recommended_action,status,notes
medium,royal-canin-digestive-care-cat-dry-gr-photo,Royal Canin,Digestive Care,cat,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult digestive care cat,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
medium,royal-canin-hair-skin-care-cat-dry-gr-photo,Royal Canin,Hair & Skin Care,cat,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult hair & skin care cat,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
medium,royal-canin-hairball-care-cat-dry-gr-photo,Royal Canin,Hairball Care,cat,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult hairball care cat,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
medium,royal-canin-savour-exigent-cat-dry-gr-photo,Royal Canin,Savour Exigent,cat,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult savour exigent cat,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
medium,royal-canin-urinary-care-cat-dry-gr-photo,Royal Canin,Urinary Care,cat,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal adult urinary care cat,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Pilot row extracted from local Royal Canin photo set; not production-ready.
medium,royal-canin-bulldog-puppy-dog-dry-gr-photo,Royal Canin,Bulldog Puppy,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal bulldog puppy,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-bulldog-puppy-dog-dry-gr-photo,Royal Canin,Bulldog Puppy,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal bulldog puppy,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-cavalier-king-charles-puppy-dog-dry-gr-photo,Royal Canin,Cavalier King Charles Puppy,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal cavalier king charles puppy,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-cavalier-king-charles-puppy-dog-dry-gr-photo,Royal Canin,Cavalier King Charles Puppy,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal cavalier king charles puppy,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-chihuahua-adult-dog-dry-gr-photo,Royal Canin,Chihuahua Adult,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua adult,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-chihuahua-adult-dog-dry-gr-photo,Royal Canin,Chihuahua Adult,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua adult,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-chihuahua-puppy-dog-dry-gr-photo,Royal Canin,Chihuahua Puppy,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua puppy,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-chihuahua-puppy-dog-dry-gr-photo,Royal Canin,Chihuahua Puppy,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal chihuahua puppy,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-french-bulldog-adult-dog-dry-gr-photo,Royal Canin,French Bulldog Adult,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog adult,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-french-bulldog-adult-dog-dry-gr-photo,Royal Canin,French Bulldog Adult,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog adult,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-french-bulldog-puppy-dog-dry-gr-photo,Royal Canin,French Bulldog Puppy,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog puppy,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-french-bulldog-puppy-dog-dry-gr-photo,Royal Canin,French Bulldog Puppy,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal french bulldog puppy,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-giant-adult-dog-dry-gr-photo,Royal Canin,Giant Adult,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal giant adult,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-giant-adult-dog-dry-gr-photo,Royal Canin,Giant Adult,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal giant adult,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-maxi-adult-dog-dry-gr-photo,Royal Canin,Maxi Adult,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-maxi-adult-dog-dry-gr-photo,Royal Canin,Maxi Adult,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-maxi-adult-ageing-8-dog-dry-gr-photo,Royal Canin,Maxi Adult Ageing 8+,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult ageing 8+,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-maxi-adult-ageing-8-dog-dry-gr-photo,Royal Canin,Maxi Adult Ageing 8+,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult ageing 8+,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-maxi-adult-light-weight-care-dog-dry-gr-photo,Royal Canin,Maxi Adult Light Weight Care,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult light weight care,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-maxi-adult-light-weight-care-dog-dry-gr-photo,Royal Canin,Maxi Adult Light Weight Care,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult light weight care,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-maxi-adult-sterilised-dog-dry-gr-photo,Royal Canin,Maxi Adult Sterilised,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult sterilised,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-maxi-adult-sterilised-dog-dry-gr-photo,Royal Canin,Maxi Adult Sterilised,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal maxi adult sterilised,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-medium-adult-dog-dry-gr-photo,Royal Canin,Medium Adult,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-medium-adult-dog-dry-gr-photo,Royal Canin,Medium Adult,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-medium-adult-ageing-7-dog-dry-gr-photo,Royal Canin,Medium Adult Ageing 7+,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult ageing 7+,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-medium-adult-ageing-7-dog-dry-gr-photo,Royal Canin,Medium Adult Ageing 7+,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult ageing 7+,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-medium-adult-sterilised-dog-dry-gr-photo,Royal Canin,Medium Adult Sterilised,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult sterilised,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-medium-adult-sterilised-dog-dry-gr-photo,Royal Canin,Medium Adult Sterilised,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal medium adult sterilised,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-dog-dry-gr-photo,Royal Canin,Mini Adult,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-dog-dry-gr-photo,Royal Canin,Mini Adult,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-ageing-12-dog-dry-gr-photo,Royal Canin,Mini Adult Ageing 12+,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult ageing 12+,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-ageing-12-dog-dry-gr-photo,Royal Canin,Mini Adult Ageing 12+,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult ageing 12+,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-ageing-8-dog-dry-gr-photo,Royal Canin,Mini Adult Ageing 8+,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult ageing 8+,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-ageing-8-dog-dry-gr-photo,Royal Canin,Mini Adult Ageing 8+,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult ageing 8+,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-coat-care-dog-dry-gr-photo,Royal Canin,Mini Adult Coat Care,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult coat care,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-coat-care-dog-dry-gr-photo,Royal Canin,Mini Adult Coat Care,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult coat care,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-digestive-care-dog-dry-gr-photo,Royal Canin,Mini Adult Digestive Care,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult digestive care,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-digestive-care-dog-dry-gr-photo,Royal Canin,Mini Adult Digestive Care,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult digestive care,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-exigent-dog-dry-gr-photo,Royal Canin,Mini Adult Exigent,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult exigent,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-exigent-dog-dry-gr-photo,Royal Canin,Mini Adult Exigent,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult exigent,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-light-weight-care-dog-dry-gr-photo,Royal Canin,Mini Adult Light Weight Care,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult light weight care,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-light-weight-care-dog-dry-gr-photo,Royal Canin,Mini Adult Light Weight Care,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult light weight care,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-sterilised-dog-dry-gr-photo,Royal Canin,Mini Adult Sterilised,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult sterilised,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-mini-adult-sterilised-dog-dry-gr-photo,Royal Canin,Mini Adult Sterilised,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal mini adult sterilised,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-miniature-schnauzer-adult-dog-dry-gr-photo,Royal Canin,Miniature Schnauzer Adult,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal miniature schnauzer adult,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-miniature-schnauzer-adult-dog-dry-gr-photo,Royal Canin,Miniature Schnauzer Adult,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal miniature schnauzer adult,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-shih-tzu-adult-dog-dry-gr-photo,Royal Canin,Shih Tzu Adult,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal shih tzu adult,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-shih-tzu-adult-dog-dry-gr-photo,Royal Canin,Shih Tzu Adult,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal shih tzu adult,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-west-highland-white-terrier-adult-dog-dry-gr-photo,Royal Canin,West Highland White Terrier Adult,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-west-highland-white-terrier-adult-dog-dry-gr-photo,Royal Canin,West Highland White Terrier Adult,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-x-small-adult-dog-dry-gr-photo,Royal Canin,X-Small Adult,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-x-small-adult-dog-dry-gr-photo,Royal Canin,X-Small Adult,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-x-small-adult-ageing-12-dog-dry-gr-photo,Royal Canin,X-Small Adult Ageing 12+,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-x-small-adult-ageing-12-dog-dry-gr-photo,Royal Canin,X-Small Adult Ageing 12+,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-x-small-adult-ageing-8-dog-dry-gr-photo,Royal Canin,X-Small Adult Ageing 8+,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-x-small-adult-ageing-8-dog-dry-gr-photo,Royal Canin,X-Small Adult Ageing 8+,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-yorkshire-terrier-puppy-dog-dry-gr-photo,Royal Canin,Yorkshire Terrier Puppy,dog,ingredients,ingredient_text,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,composition/ingredients panel,Transcribe ingredient text exactly as printed and verify comma separation.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
medium,royal-canin-yorkshire-terrier-puppy-dog-dry-gr-photo,Royal Canin,Yorkshire Terrier Puppy,dog,minerals,calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,analytical constituents/minerals panel or official technical sheet,Backfill minerals where present; keep blank if the label/source does not publish them.,open,Batch row extracted from Royal Canin dog photo-set identity; nutrition transcription still required.
